(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.60172) (0.0434354, 2.48428) (-0.262968, 2.93132) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601726) (0.0433991, 2.48427) (-0.257007, 2.9282) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601723) (0.0434099, 2.48428) (-0.250275, 2.92532) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601736) (0.0434327, 2.48426) (-0.243382, 2.92496) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601711) (0.0434943, 2.48425) (-0.236725, 2.92503) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601725) (0.0435499, 2.48424) (-0.245166, 2.92545) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601702) (0.0436689, 2.48422) (-0.243324, 2.92926) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601729) (0.0437001, 2.48421) (-0.243038, 2.93497) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40586, 0.601707) (0.0434972, 2.48425) (-0.240925, 2.93814) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.60174) (0.043403, 2.48427) (-0.235407, 2.94689) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.601705) (0.0434354, 2.48426) (-0.230586, 2.95363) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601714) (0.0434542, 2.48427) (-0.233545, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.60174) (0.0436012, 2.48423) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601724) (0.0435736, 2.48423) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601748) (0.0436121, 2.48424) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601739) (0.043579, 2.48424) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40584, 0.601733) (0.0442465, 2.4844) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40588, 0.601767) (0.0472533, 2.48453) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40577, 0.601728) (0.0452576, 2.48468) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40577, 0.601718) (0.0444447, 2.48454) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40583, 0.60176) (0.0437453, 2.48458) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601721) (0.0437912, 2.48456) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40579, 0.601723) (0.0436345, 2.48461) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40582, 0.601745) (0.0437599, 2.48508) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.40581, 0.601724) (0.0431676, 2.48477) (-0.233558, 2.95911) 
(-1.21447, 1.47089) (-3.01141, 2.52834) (-3.05716, 1.81814) (2.4058, 0.601702) (0.04345, 2.48465) (-0.233558, 2.95911) 
